City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,papatowai,-46.5619,169.4708,18.760000000000048,55,100,2.5,NZ,1730932425
65,st. john's,47.5649,-52.7093,10.54000000000002,95,100,7.72,CA,1730932540
66,bredasdorp,-34.5322,20.0403,14.270000000000039,75,12,4.58,ZA,1730932434
67,vorkuta,67.5,64.0,-7.829999999999984,96,100,3.11,RU,1730932542
68,ostrovskoye,57.8057,42.2433,0.6800000000000068,90,100,4.45,RU,1730932543
69,luena,-11.7833,19.9167,17.33000000000004,82,26,0.46,AO,1730932544
70,avarua,-21.2078,-159.775,25.03000000000003,53,82,3.6,CK,1730932545
71,hermanus,-34.4187,19.2345,15.450000000000045,78,4,7.26,ZA,1730932439
72,saldanha,-33.0117,17.9442,17.03000000000003,77,0,5.8,ZA,1730932547
73,lata,40.1629,-8.3327,14.550000000000011,81,21,1.98,PT,1730932548
74,san marcos,33.1434,-117.1661,25.05000000000001,12,73,2.24,US,1730932501
75,latehar,23.75,84.5,18.29000000000002,80,0,1.35,IN,1730932551
76,ploneour-lanvern,47.9,-4.2833,12.180000000000007,94,100,2.57,FR,1730932552
77,kruisfontein,-34.0033,24.7314,10.5,80,21,1.32,ZA,1730932553
78,salekhard,66.53,66.6019,-13.870000000000005,93,18,2.33,RU,1730932554
79,mandera,3.9366,41.867,29.129999999999995,50,99,4.34,KE,1730932555
80,lobujya,27.95,86.8167,-10.389999999999986,44,0,7.19,NP,1730932556
81,invercargill,-46.4,168.35,20.730000000000018,48,61,1.45,NZ,1730932557
82,longyearbyen,78.2186,15.6401,-9.089999999999975,86,20,3.6,SJ,1730932558
83,cururupu,-1.8283,-44.8683,24.850000000000023,84,99,1.43,BR,1730932559
84,west island,-12.1568,96.8225,25.99000000000001,89,75,9.26,CC,1730932452
85,vila franca do campo,37.7167,-25.4333,18.27000000000004,99,7,3.43,PT,1730932562
86,lorengau,-2.0226,147.2712,29.58000000000004,68,96,2.33,PG,1730932563
87,pontes e lacerda,-15.2261,-59.3353,24.49000000000001,85,88,1.06,BR,1730932565
88,ancud,-41.8697,-73.8203,10.300000000000011,65,49,2.76,CL,1730932566
89,qaqortoq,60.7167,-46.0333,-11.779999999999973,75,3,3.6,GL,1730932567
90,port hedland,-20.3167,118.5667,25.03000000000003,78,2,2.57,AU,1730932568
91,nagato,34.3833,131.2,13.890000000000043,79,93,8.02,JP,1730932569
92,puerto penasco,31.3167,-113.5333,23.99000000000001,12,0,9.26,MX,1730932570
93,golden valley,45.0097,-93.3491,9.340000000000032,78,40,3.6,US,1730932573
94,lospalos,-8.5186,127.0025,26.560000000000002,72,100,0.6,TL,1730932574
95,huntsville,34.7304,-86.5861,22.140000000000043,96,100,3.09,US,1730932575
96,wailua homesteads,22.0669,-159.378,27.439999999999998,85,40,8.23,US,1730932576
97,east london,-33.0153,27.9116,14.189999999999998,66,50,1.33,ZA,1730932577
98,sinop,41.7711,34.8709,3.230000000000018,68,0,2.89,TR,1730932578
99,anadyr,64.75,177.4833,-10.71999999999997,79,0,7.0,RU,1730932513
100,huarmey,-10.0681,-78.1522,19.670000000000016,83,98,3.24,PE,1730932580
101,ribeira grande,38.5167,-28.7,16.33000000000004,57,5,5.62,PT,1730932581
102,zeya,53.75,127.2667,-14.539999999999964,96,32,0.57,RU,1730932583
103,nadym,65.5333,72.5167,-16.870000000000005,99,33,1.6,RU,1730932584
104,arkhangel'sk,64.5401,40.5433,3.0600000000000023,87,100,5.0,RU,1730932439
105,nemuro,43.3236,145.575,4.7000000000000455,72,100,6.3,JP,1730932586
106,monterey,36.2505,-121.2516,20.5,19,3,1.92,US,1730932587
107,visby,57.6409,18.296,8.120000000000005,87,100,4.63,SE,1730932588
108,stephenville,32.2207,-98.2023,23.07000000000005,40,0,4.12,US,1730932589
